"DOPLogNumber","Project","Station","Date","SerialNumber","PreyCategory","PreyLengthSpecies","PreyLength","LengthEstimate","PreyWeight","EyeDiameter","PreyAntennaLength","PreySex","PreyLengthComments"
44,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E44","Gammarus type","Unid Gammaroidea",3.20,"S",,,,,"NM, NW, eye NM, head only"
44,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E44","Gammarus type","Gammarus spp.",2.70,,,,,,"NI, NW"
44,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E44","Gammarus type","juvenile Gammarus",1.90,,,,,,"NW"
44,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E44","Gammarus type","juvenile Gammarus",2.00,,,,,,"NI"
44,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E44","Gammarus type","juvenile Gammarus",1.90,"G",,,,,"NM"
44,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E44","Gammarus type","juvenile Gammarus",2.00,"G",,,,,"NM"
44,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E44","Gammarus type","juvenile Gammarus",1.90,"G",,,,,"NM"
44,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E44","Gammarus type","Gammarus spp.",3.30,,,,,,"NW, probably G. lacustris"
44,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E44","Gammarus type","Gammarus spp.",3.20,,,,,,"NI, NW, probably G. lacustris"
44,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E44","Gammarus type","Gammarus spp.",2.50,,,,,,"NW, probably G. lacustris"
44,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E44","Gammarus type","Gammarus spp.",2.50,,,,,,"NW, probably G. lacustris"
44,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E44","Gammarus type","Gammarus spp.",4.60,"ED",,0.20,,,"NW, probably G. lacustris"
44,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E44","Gammarus type","Gammarus spp.",4.60,"ED",,0.20,,,"NW, probably G. lacustris"
44,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E44","Gammarus type","Gammarus spp.",4.60,"ED",,0.20,,,"NW, probably G. lacustris"
44,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E44","Gammarus type","Gammarus spp.",4.60,"ED",,0.20,,,"NW, probably G. lacustris"
44,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E44","Gammarus type","Gammarus spp.",2.80,,,,,,"NI, NW, probably G. lacustris"
44,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E44","Gammarus type","Gammarus spp.",2.20,,,,,,"NW, probably G. lacustris"
44,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E44","Corophium type","juvenile Corophium",1.00,,,,,,"NW"
44,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E44","Corophium type","juvenile Corophium",1.00,,,,,,"NW"
44,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E44","Corophium type","A. spinicorne",2.30,,1.9e-04,,1.30,"F",
44,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E44","Corophium type","A. spinicorne",2.90,,4.1e-04,,1.50,"F",
44,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E44","Corophium type","A. spinicorne",3.00,,,,2.00,"F","NW, A2 NI"
45,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E45","Gammarus type","Gammarus spp.",2.40,,2.6e-04,,,,"Probably G. lacustris"
45,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E45","Gammarus type","Gammarus spp.",2.30,,2.7e-04,,,,"Probably G. lacustris"
45,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E45","Gammarus type","Gammarus spp.",3.20,,5.6e-04,,,,"Probably G. lacustris"
45,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E45","Gammarus type","Gammarus spp.",2.30,,,,,,"NI, NW, probably G. lacustris"
