"DOPLogNumber","Project","Station","Date","SerialNumber","PreyCategory","PreyLengthSpecies","PreyLength","LengthEstimate","PreyWeight","EyeDiameter","PreyAntennaLength","PreySex","PreyLengthComments"
281,"EDSM","19-49-LSSC01",7/3/2019 0:00:00,"E422","Hyperacanthomysis longirostris",,2.00,"S",,,,,"NI, NW"
281,"EDSM","19-49-LSSC01",7/3/2019 0:00:00,"E422","Unid mysids",,3.00,"S",,,,,"NW, NM"
281,"EDSM","19-49-LSSC01",7/3/2019 0:00:00,"E422","Unid mysids",,2.50,"S",,,,,"NW, NM"
281,"EDSM","19-49-LSSC01",7/3/2019 0:00:00,"E422","Unid mysids",,3.20,"S",,,,,"NW, NM"
281,"EDSM","19-49-LSSC01",7/3/2019 0:00:00,"E422","Unid mysids",,2.20,"S",,,,,"NW, NM"
281,"EDSM","19-49-LSSC01",7/3/2019 0:00:00,"E422","Unid mysids",,4.30,"ED",,0.30,,,"NI, NW"
287,"EDSM","19-49-LSSC01",7/3/2019 0:00:00,"E428","Unid mysids",,1.40,"ED",,0.10,,,"NW, NM, head only"
288,"EDSM","19-49-LSSC01",7/3/2019 0:00:00,"E429","Unid fish",,13.00,"G",,,,,"NM, NW, no head, total length over 13 mm"
295,"EDSM","19-49-LSSC01",7/3/2019 0:00:00,"E436","Unid mysids",,5.70,"ED",,0.40,,,"NM, NI, NW"
295,"EDSM","19-49-LSSC01",7/3/2019 0:00:00,"E436","Hyperacanthomysis longirostris",,2.00,,,,,,"NW, NI"
295,"EDSM","19-49-LSSC01",7/3/2019 0:00:00,"E436","Hyperacanthomysis longirostris",,3.00,,,,,,"NW, NI"
295,"EDSM","19-49-LSSC01",7/3/2019 0:00:00,"E436","Hyperacanthomysis longirostris",,2.50,,,,,,"NW, NI"
295,"EDSM","19-49-LSSC01",7/3/2019 0:00:00,"E436","Hyperacanthomysis longirostris",,3.20,,,,,,"NW, NI"
295,"EDSM","19-49-LSSC01",7/3/2019 0:00:00,"E436","Hyperacanthomysis longirostris",,2.20,,,,,,"NW, NI"
295,"EDSM","19-49-LSSC01",7/3/2019 0:00:00,"E436","Hyperacanthomysis longirostris",,2.50,"G",,,,,"NM, NW, no eye"
295,"EDSM","19-49-LSSC01",7/3/2019 0:00:00,"E436","Hyperacanthomysis longirostris",,2.50,"G",,,,,"NM, NW, no eye"
295,"EDSM","19-49-LSSC01",7/3/2019 0:00:00,"E436","Hyperacanthomysis longirostris",,2.50,"G",,,,,"NM, NW, no eye"
295,"EDSM","19-49-LSSC01",7/3/2019 0:00:00,"E436","Hyperacanthomysis longirostris",,4.10,"ED",,0.30,,,"NM, NW"
305,"EDSM","19-49-LSSC02",7/3/2019 0:00:00,"E448","Unid mysids",,1.50,,,,,,"NI, NW"
305,"EDSM","19-49-LSSC02",7/3/2019 0:00:00,"E448","Hyperacanthomysis longirostris",,1.80,,,,,,"NW"
305,"EDSM","19-49-LSSC02",7/3/2019 0:00:00,"E448","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
305,"EDSM","19-49-LSSC02",7/3/2019 0:00:00,"E448","Hyperacanthomysis longirostris",,1.40,,,,,,"NI, NW"
310,"EDSM","19-49-LSSC02",7/3/2019 0:00:00,"E453","Hyperacanthomysis longirostris",,1.80,,,,,,"NW"
310,"EDSM","19-49-LSSC02",7/3/2019 0:00:00,"E453","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
312,"EDSM","19-49-LSSC02",7/3/2019 0:00:00,"E455","Unid mysids",,1.00,"S",,,,,"Urosome only; NI, NW, NM"
312,"EDSM","19-49-LSSC02",7/3/2019 0:00:00,"E455","Hyperacanthomysis longirostris",,1.00,"ED",,0.10,,,"NI, NW"
314,"EDSM","19-49-LSSC02",7/3/2019 0:00:00,"E459","Unid mysids",,1.40,"ED",,0.10,,,"NI, NW, NM"
316,"EDSM","19-52-LSSC03",7/24/2019 0:00:00,"E461","Hyperacanthomysis longirostris",,1.90,"M",,,,,"NM, NW, no eye, tail only"
316,"EDSM","19-52-LSSC03",7/24/2019 0:00:00,"E461","Corophium type","A. spinicorne",2.50,"AL",,,1.00,"F","NM, NW, NI"
317,"EDSM","19-52-LSSC03",7/24/2019 0:00:00,"E462","Hyperacanthomysis longirostris",,2.60,"ED",,0.20,,,"NM, NW"
319,"EDSM","19-52-LSSC02",7/25/2019 0:00:00,"E465","Corophium type","juvenile Corophium",1.10,,,,,,"NI, NW"
322,"EDSM","19-52-LSSC03",7/24/2019 0:00:00,"E549","Corophium type","A. spinicorne",2.80,"AL",,,1.70,"M","NI, NW"
326,"EDSM","19-51-LSSC02",7/15/2019 0:00:00,"E553","Corophium type","juvenile Corophium",1.10,"S",,,,,"NM, NW, no A2"
327,"EDSM","19-50-LSSC05",7/9/2019 0:00:00,"E554","Hyperacanthomysis longirostris",,2.00,,,,,,"NW, NI"
327,"EDSM","19-50-LSSC05",7/9/2019 0:00:00,"E554","Hyperacanthomysis longirostris",,1.60,,,,,,"NW"
327,"EDSM","19-50-LSSC05",7/9/2019 0:00:00,"E554","Hyperacanthomysis longirostris",,1.60,,,,,,"NW"
327,"EDSM","19-50-LSSC05",7/9/2019 0:00:00,"E554","Hyperacanthomysis longirostris",,1.60,"G",,,,,"NM, NW, NI; Head only"
327,"EDSM","19-50-LSSC05",7/9/2019 0:00:00,"E554","Hyperacanthomysis longirostris",,2.00,"G",,,,,"NM, NW, NI"
334,"EDSM","19-50-LSSC02",7/8/2019 0:00:00,"E561","Corophium type","juvenile Corophium",4.00,"S",,,,,"NM, NW"
342,"EDSM","20-07-SBM01",9/13/2019 0:00:00,"E201","Unid mysids",,1.50,,,,,,"NI, NW"
342,"EDSM","20-07-SBM01",9/13/2019 0:00:00,"E201","Corophium type","juvenile Corophium",2.00,,,,,,"NI, NW"
342,"EDSM","20-07-SBM01",9/13/2019 0:00:00,"E201","Corophium type","juvenile Corophium",1.00,,,,,,"NW"
342,"EDSM","20-07-SBM01",9/13/2019 0:00:00,"E201","Corophium type","juvenile Corophium",1.50,"S",,,,,"NM, NW"
342,"EDSM","20-07-SBM01",9/13/2019 0:00:00,"E201","Unid mysids",,1.50,,,,,,"NI, NW"
342,"EDSM","20-07-SBM01",9/13/2019 0:00:00,"E201","Unid mysids",,1.50,"G",,,,,"NM, NW"
342,"EDSM","20-07-SBM01",9/13/2019 0:00:00,"E201","Unid mysids",,1.50,"G",,,,,"NM, NW"
344,"EDSM","20-08-CF01",9/17/2019 0:00:00,"E203","Hyperacanthomysis longirostris",,1.00,"ED",,0.10,,,"NM, NW"
344,"EDSM","20-08-CF01",9/17/2019 0:00:00,"E203","Hyperacanthomysis longirostris",,1.00,"ED",,0.10,,,"NM, NW"
344,"EDSM","20-08-CF01",9/17/2019 0:00:00,"E203","Corophium type","juvenile Corophium",2.00,"M",,,,,"NM, NW. Juvenile"
344,"EDSM","20-08-CF01",9/17/2019 0:00:00,"E203","Corophium type","juvenile Corophium",1.00,"M",,,,,"NM, NW. Juvenile"
348,"EDSM","20-13-HB01",10/22/2019 0:00:00,"E339","Unid mysids",,2.90,"ED",,0.20,,,"NM, NW. Eyes only"
349,"EDSM","19-50-LSSC02",7/8/2019 0:00:00,"E340","Hyperacanthomysis longirostris",,1.60,"U",,,,,"NM, NW. No eye, tail only. Size of an early juvenile"
350,"EDSM","19-50-LSSC05",7/9/2019 0:00:00,"E341","Unid mysids",,1.40,"ED",,0.10,,,"NI, NW"
350,"EDSM","19-50-LSSC05",7/9/2019 0:00:00,"E341","Unid mysids",,1.40,"ED",,0.10,,,"NI, NW"
350,"EDSM","19-50-LSSC05",7/9/2019 0:00:00,"E341","Unid mysids",,1.60,"U",,,,,"NM, NW, eye not measurable"
350,"EDSM","19-50-LSSC05",7/9/2019 0:00:00,"E341","Unid mysids",,1.60,"U",,,,,"NM, NW, eye not measurable"
350,"EDSM","19-50-LSSC05",7/9/2019 0:00:00,"E341","Unid mysids",,2.00,"U",,,,,"NM, NW, eye not measurable"
353,"EDSM","20-07-LSSC03",9/10/2019 0:00:00,"E475","Hyperacanthomysis longirostris",,2.00,,,0.10,,,"Juvenile, NI, NW"
355,"EDSM","20-12-LSSC01",10/15/2019 0:00:00,"E577","Unid mysids",,5.70,"ED",,0.40,,,"NI, NW, head only"
355,"EDSM","20-12-LSSC01",10/15/2019 0:00:00,"E577","Hyperacanthomysis longirostris",,1.90,"Y",,,,,"Juvenile NM, NW, NI"
347,"EDSM","20-14-LSR01",10/28/2019 0:00:00,"E206","Unid amphipod",,1.50,"Y",,,,,"Head only with missing antenna. NM, NW"
256,"EDSM","20-02-SM03",8/6/2019 0:00:00,"E336","Palaemon",,2.50,"Y",,,,,"Length estimate based on 2011-2019 Palaemon lengths in FLaSH DB 6/2020 CEB"
129,"EDSM","19-05-LSSC05",8/27/2018 0:00:00,"E96","Hyperacanthomysis longirostris",,1.00,"G",,,,,"NM, NW, no eye"
395,"ELS","19-43-SC05",5/21/2019 0:00:00,"L1236","Tridentiger spp",,2.60,,,,,,"NW. Scale couldn't detect fish"
403,"ELS","19-45-LSSC05",6/5/2019 0:00:00,"L2256","Hyperacanthomysis longirostris",,2.60,"ED",,0.20,,,"NM, NW"
403,"ELS","19-45-LSSC05",6/5/2019 0:00:00,"L2256","Hyperacanthomysis longirostris",,1.00,"ED",,0.10,,,"NM, NW"
403,"ELS","19-45-LSSC05",6/5/2019 0:00:00,"L2256","Hyperacanthomysis longirostris",,1.00,"ED",,0.10,,,"NM, NW"
423,"EDSM","20-50-LSR01",7/8/2020 0:00:00,"E222","Hyperacanthomysis longirostris",,2.00,,,,,,"NI, NW"
426,"EDSM","20-50-LSSC01",7/6/2020 0:00:00,"E225","Corophium type","juvenile Corophium",1.80,,,,,,"NI, NW, A2 NM"
427,"EDSM","20-50-LSSC02",7/6/2020 0:00:00,"E226","Corophium type","juvenile Corophium",2.00,,,,1.00,,"NW, A2 NI"
427,"EDSM","20-50-LSSC02",7/6/2020 0:00:00,"E226","Unid amphipod","Unid amphipod",1.00,,,,,,"NW, juvenile"
427,"EDSM","20-50-LSSC02",7/6/2020 0:00:00,"E226","Other malacostraca",,1.50,,,,,,"NI, NW, Tanaid"
427,"EDSM","20-50-LSSC02",7/6/2020 0:00:00,"E226","Other malacostraca",,2.30,,2.1e-04,,,,"Tanaid"
427,"EDSM","20-50-LSSC02",7/6/2020 0:00:00,"E226","Other malacostraca",,1.00,,,,,,"NW, Tanaid"
428,"EDSM","20-50-LSSC05",7/7/2020 0:00:00,"E227","Other malacostraca",,2.00,,2.7e-04,,,,"Tanaid"
428,"EDSM","20-50-LSSC05",7/7/2020 0:00:00,"E227","Hyperacanthomysis longirostris",,5.50,,,,,,"NI, NW, male"
437,"EDSM","20-52-GB01",7/21/2020 0:00:00,"E479","Unid mysids",,1.40,"ED",,0.10,,,"NM, NW"
439,"EDSM","20-50-LSSC02",7/6/2020 0:00:00,"E481","Unid amphipod","Unid amphipod",1.00,"S",,0.05,,,"NM, NW, A2 NM"
441,"EDSM","21-03-GB01",8/11/2020 0:00:00,"E484","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
441,"EDSM","21-03-GB01",8/11/2020 0:00:00,"E484","Hyperacanthomysis longirostris",,1.50,"G",,,,,"NM, NW, no eye"
442,"EDSM","20-45-SM07",6/2/2020 0:00:00,"E485","Unid amphipod","Unid amphipod",1.00,"Y",,,,,"NM, NW, no A2, end of pereopod only, possibly A. spinicorne"
447,"EDSM","21-41-LSSC07",5/4/2021 0:00:00,"L0372","Unid mysids",,1.50,"Y",,,,,"NM, NW, no eye, probably H. longirostris"
447,"EDSM","21-41-LSSC07",5/4/2021 0:00:00,"L0372","Unid mysids",,1.50,"Y",,,,,"NM, NW, no eye, probably H. longirostris"
456,"EDSM","22-20-RV05",12/17/2021 0:00:00,"S-105","Gammarus type","G. daiberi",4.60,,1.24e-03,,,,
456,"EDSM","22-20-RV05",12/17/2021 0:00:00,"S-105","Gammarus type","Crangonyx sp.",3.00,,5.9e-04,,,,
456,"EDSM","22-20-RV05",12/17/2021 0:00:00,"S-105","Gammarus type","Crangonyx sp.",4.10,,8.6e-04,,,,
456,"EDSM","22-20-RV05",12/17/2021 0:00:00,"S-105","Gammarus type","Crangonyx sp.",4.10,,1.07e-03,,,,
456,"EDSM","22-20-RV05",12/17/2021 0:00:00,"S-105","Gammarus type","Hyalella sp.",2.60,,5.9e-04,,,,
456,"EDSM","22-20-RV05",12/17/2021 0:00:00,"S-105","Corophium type","A. stimpsoni",3.10,,5.3e-04,,1.50,"F",
457,"EDSM","22-20-RV02",12/17/2021 0:00:00,"S-106","Gammarus type","Crangonyx sp.",4.40,"ED",,0.20,,,"NM, NW"
461,"EDSM","22-22-RV02",12/28/2021 0:00:00,"S-111","Gammarus type","Hyalella sp.",3.00,,,,,,"NI, NW"
462,"EDSM","22-23-RV04",1/5/2022 0:00:00,"S-113","Nippoleucon hinumensis",,4.00,,3.0e-04,,,,"Female"
462,"EDSM","22-23-RV04",1/5/2022 0:00:00,"S-113","Nippoleucon hinumensis",,2.30,,,,,,"NW"
462,"EDSM","22-23-RV04",1/5/2022 0:00:00,"S-113","Nippoleucon hinumensis",,2.40,,,,,,"NW"
462,"EDSM","22-23-RV04",1/5/2022 0:00:00,"S-113","Nippoleucon hinumensis",,2.30,,,,,,"NW"
462,"EDSM","22-23-RV04",1/5/2022 0:00:00,"S-113","Unid cumacean",,2.40,"G",,,,,"NM, NW"
462,"EDSM","22-23-RV04",1/5/2022 0:00:00,"S-113","Unid cumacean",,2.30,"G",,,,,"NM, NW"
462,"EDSM","22-23-RV04",1/5/2022 0:00:00,"S-113","Unid cumacean",,2.30,"G",,,,,"NM, NW"
463,"EDSM","22-22-RV03",12/28/2021 0:00:00,"S-112","Chironomid larvae",,1.30,,,,,,"NW"
463,"EDSM","22-22-RV03",12/28/2021 0:00:00,"S-112","Corophium type","A. spinicorne",3.30,,,,2.20,"F","NW"
463,"EDSM","22-22-RV03",12/28/2021 0:00:00,"S-112","Corophium type","A. spinicorne",3.00,,3.0e-04,,1.70,,
463,"EDSM","22-22-RV03",12/28/2021 0:00:00,"S-112","Gammarus type","Hyalella sp.",1.80,,,,,,"NW"
463,"EDSM","22-22-RV03",12/28/2021 0:00:00,"S-112","Gammarus type","Hyalella sp.",3.00,,4.2e-04,,,,
463,"EDSM","22-22-RV03",12/28/2021 0:00:00,"S-112","Gammarus type","Hyalella sp.",2.80,,,,,,"NW"
464,"EDSM","22-24-LSSC03",1/12/2022 0:00:00,"S-114","Gammarus type","Hyalella sp.",3.30,,7.8e-04,,,,
464,"EDSM","22-24-LSSC03",1/12/2022 0:00:00,"S-114","Gammarus type","Hyalella sp.",3.30,,8.4e-04,,,"M",
464,"EDSM","22-24-LSSC03",1/12/2022 0:00:00,"S-114","Gammarus type","Hyalella sp.",2.20,,1.6e-04,,,,
464,"EDSM","22-24-LSSC03",1/12/2022 0:00:00,"S-114","Gammarus type","Hyalella sp.",3.20,,3.3e-04,,,"F",
464,"EDSM","22-24-LSSC03",1/12/2022 0:00:00,"S-114","Gammarus type","Hyalella sp.",1.90,,,,,,"NW"
464,"EDSM","22-24-LSSC03",1/12/2022 0:00:00,"S-114","Gammarus type","Hyalella sp.",2.70,,,,,,"NI, NW"
464,"EDSM","22-24-LSSC03",1/12/2022 0:00:00,"S-114","Gammarus type","Hyalella sp.",1.80,,,,,,"NI, NW"
468,"EDSM","22-28-LSR01",2/7/2022 0:00:00,"S-118","Prickly Sculpin",,4.20,,,,,,"SL = ~4.2 mm, NW"
469,"EDSM","22-24-LSSC03",1/12/2022 0:00:00,"S-119","Gammarus type","Crangonyx sp.",5.00,,1.05e-03,,,,
472,"CVP","CVP",1/16/2022 0:00:00,"S-401","Gammarus type","Hyalella sp.",3.20,,,,,"F","NW"
472,"CVP","CVP",1/16/2022 0:00:00,"S-401","Gammarus type","Hyalella sp.",3.50,,,,,"M","NW"
472,"CVP","CVP",1/16/2022 0:00:00,"S-401","Gammarus type","Hyalella sp.",3.10,,,,,,"NW"
472,"CVP","CVP",1/16/2022 0:00:00,"S-401","Unid amphipod",,3.00,"ED",,0.10,,,"Probable Hyalella, NM, NW"
472,"CVP","CVP",1/16/2022 0:00:00,"S-401","Unid amphipod",,3.00,"ED",,0.10,,,"Probable Hyalella, NM, NW"
472,"CVP","CVP",1/16/2022 0:00:00,"S-401","Unid amphipod",,3.00,"ED",,0.10,,,"Probable Hyalella, NM, NW"
472,"CVP","CVP",1/16/2022 0:00:00,"S-401","Unid amphipod",,4.40,"ED",,0.20,,,"Probable Hyalella, NM, NW"
472,"CVP","CVP",1/16/2022 0:00:00,"S-401","Unid amphipod",,4.40,"ED",,0.20,,,"Probable Hyalella, NM, NW"
472,"CVP","CVP",1/16/2022 0:00:00,"S-401","Unid amphipod",,4.40,"ED",,0.20,,,"Probable Hyalella, NM, NW"
470,"EDSM","22-27-LSJ01",2/4/2022 0:00:00,"S-202","Nippoleucon hinumensis",,2.80,"M",,,,,"NM, NW"
474,"EDSM","22-29-SM01",2/14/2022 0:00:00,"S-003","Nippoleucon hinumensis",,2.80,,,,,,"NW"
477,"DJFMP","SB018M",2/17/2022 0:00:00,"S-4","Gammarus type","G. daiberi",5.00,,,,,,"NI, NW"
480,"EDSM","22-30-SM03",2/23/2022 0:00:00,"S-007","Nippoleucon hinumensis",,4.00,,1.4e-04,,,,
480,"EDSM","22-30-SM03",2/23/2022 0:00:00,"S-007","Nippoleucon hinumensis",,2.70,,,,,,"NW"
482,"EDSM","22-30-SM03",2/23/2022 0:00:00,"S-009","Nippoleucon hinumensis",,3.30,,,,,,"NW"
482,"EDSM","22-30-SM03",2/23/2022 0:00:00,"S-009","Nippoleucon hinumensis",,3.30,"G",,,,,"NM, NW, no tail"
484,"EDSM","22-32-SM01",3/11/2022 0:00:00,"0011","Nippoleucon hinumensis",,2.70,,,,,,"NW"
486,"EDSM","22-34-SM01",3/22/2022 0:00:00,"S-13","Corophium type","C. alienense",4.10,,,,,"F","NW, A2 NM"
486,"EDSM","22-34-SM01",3/22/2022 0:00:00,"S-13","Corophium type","C. alienense",3.00,"AL",,,1.40,,"NM, NW"
486,"EDSM","22-34-SM01",3/22/2022 0:00:00,"S-13","Corophium type","C. alienense",3.80,,,,1.60,"F","NW"
486,"EDSM","22-34-SM01",3/22/2022 0:00:00,"S-13","Corophium type","C. alienense",3.20,"AL",,,1.60,,"NM, NW"
486,"EDSM","22-34-SM01",3/22/2022 0:00:00,"S-13","Corophium type","C. alienense",4.00,"AL",,,2.20,,"NM, NW"
486,"EDSM","22-34-SM01",3/22/2022 0:00:00,"S-13","Corophium type","C. alienense",3.30,,,,1.80,"F","NW"
487,"EDSM","22-35-SM01",3/29/2022 0:00:00,"S-14","Unid amphipod",,4.00,"G",,,,,"NM, NW, heavily digested"
487,"EDSM","22-35-SM01",3/29/2022 0:00:00,"S-14","Nippoleucon hinumensis",,4.00,,2.1e-04,,,,
489,"EDSM","22-30-LSSC01",2/24/2022 0:00:00,"S-121","Terrestrial invertebrates",,3.10,,5.4e-04,,,,"Ant"
489,"EDSM","22-30-LSSC01",2/24/2022 0:00:00,"S-121","Corophium type","juvenile Corophium",1.70,,,,,,"NW, A2 NM"
496,"EDSM","22-32-LSSC01",3/8/2022 0:00:00,"S-128","Gammarus type","G. daiberi",3.50,"M",,,,,"NM, NW, eye NM, heavily digested"
504,"EDSM","22-34-USSC01",3/23/2022 0:00:00,"S-136","Chironomid larvae",,2.70,,,,,,"NW"
504,"EDSM","22-34-USSC01",3/23/2022 0:00:00,"S-136","Terrestrial invertebrates",,2.70,"G",,,,,"Unid insect (club-like antennae, mandibles), NM, NW"
504,"EDSM","22-34-USSC01",3/23/2022 0:00:00,"S-136","Terrestrial invertebrates",,2.00,"G",,,,,"Unid Hemiptera, NM, NW"
504,"EDSM","22-34-USSC01",3/23/2022 0:00:00,"S-136","Terrestrial invertebrates",,2.00,"G",,,,,"Unid Hemiptera, NM, NW"
504,"EDSM","22-34-USSC01",3/23/2022 0:00:00,"S-136","Terrestrial invertebrates",,2.00,"G",,,,,"Unid Hemiptera, NM, NW"
504,"EDSM","22-34-USSC01",3/23/2022 0:00:00,"S-136","Terrestrial invertebrates",,2.00,"G",,,,,"Unid Hemiptera, NM, NW"
504,"EDSM","22-34-USSC01",3/23/2022 0:00:00,"S-136","Terrestrial invertebrates",,2.00,,,,,,"Unid Hemiptera, NW"
504,"EDSM","22-34-USSC01",3/23/2022 0:00:00,"S-136","Terrestrial invertebrates",,2.00,"G",,,,,"Unid Hemiptera (Aphid-like), NM, NW"
504,"EDSM","22-34-USSC01",3/23/2022 0:00:00,"S-136","Terrestrial invertebrates",,2.00,"G",,,,,"Unid Hemiptera (Aphid-like), NM, NW"
504,"EDSM","22-34-USSC01",3/23/2022 0:00:00,"S-136","Terrestrial invertebrates",,2.00,"G",,,,,"Unid Hemiptera (Aphid-like), NM, NW"
504,"EDSM","22-34-USSC01",3/23/2022 0:00:00,"S-136","Terrestrial invertebrates",,2.00,,,,,,"Hemiptera: Aphid, NI, NW"
504,"EDSM","22-34-USSC01",3/23/2022 0:00:00,"S-136","Terrestrial invertebrates",,2.00,,,,,,"Hemiptera: Aphid, NI, NW"
504,"EDSM","22-34-USSC01",3/23/2022 0:00:00,"S-136","Terrestrial invertebrates",,2.00,,,,,,"Hemiptera: Aphid, NI, NW"
504,"EDSM","22-34-USSC01",3/23/2022 0:00:00,"S-136","Terrestrial invertebrates",,2.00,,,,,,"Hemiptera: Aphid, NI, NW"
504,"EDSM","22-34-USSC01",3/23/2022 0:00:00,"S-136","Terrestrial invertebrates",,2.00,,,,,,"Hemiptera: Aphid, NI, NW"
504,"EDSM","22-34-USSC01",3/23/2022 0:00:00,"S-136","Terrestrial invertebrates",,2.00,"G",,,,,"Diptera (Possible midge), NM, NW"
504,"EDSM","22-34-USSC01",3/23/2022 0:00:00,"S-136","Terrestrial invertebrates",,2.00,"G",,,,,"Diptera, NM, NW"
504,"EDSM","22-34-USSC01",3/23/2022 0:00:00,"S-136","Terrestrial invertebrates",,2.00,"G",,,,,"Diptera, NM, NW"
504,"EDSM","22-34-USSC01",3/23/2022 0:00:00,"S-136","Terrestrial invertebrates",,2.00,"G",,,,,"Diptera, NM, NW"
504,"EDSM","22-34-USSC01",3/23/2022 0:00:00,"S-136","Terrestrial invertebrates",,2.30,"G",,,,,"Diptera, NM, NW"
504,"EDSM","22-34-USSC01",3/23/2022 0:00:00,"S-136","Terrestrial invertebrates",,2.30,"G",,,,,"Diptera, NM, NW"
504,"EDSM","22-34-USSC01",3/23/2022 0:00:00,"S-136","Terrestrial invertebrates",,2.00,"G",,,,,"Diptera, NM, NW"
497,"EDSM","22-32-LSSC01",3/8/2022 0:00:00,"S-129","Other zooplankton",,0.39,,3.0e-05,0.04,,,
497,"EDSM","22-32-LSSC01",3/8/2022 0:00:00,"S-129","Other zooplankton",,0.33,,3.0e-05,0.04,,,
497,"EDSM","22-32-LSSC01",3/8/2022 0:00:00,"S-129","Other zooplankton",,0.35,,3.0e-05,0.04,,,
497,"EDSM","22-32-LSSC01",3/8/2022 0:00:00,"S-129","Other zooplankton",,0.38,,3.0e-05,0.03,,,
497,"EDSM","22-32-LSSC01",3/8/2022 0:00:00,"S-129","Other zooplankton",,0.37,,3.0e-05,0.04,,,
497,"EDSM","22-32-LSSC01",3/8/2022 0:00:00,"S-129","Other zooplankton",,0.39,,3.0e-05,0.03,,,
494,"EDSM","22-31-LSSC01",3/2/2022 0:00:00,"S-126","Unid fish",,3.10,"S",,,,,"NM, NW, eyes and some body tissue only"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Unid fish",,2.30,,,,,,"Length = SL, NI, NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.80,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.80,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.70,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.70,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
528,"EDSM","23-01-LSR05",8/2/2022 0:00:00,"S-319","Hyperacanthomysis longirostris",,1.50,,,,,,"NW"
