PreyCategory,LifeStage,PreyCategoryDefinition,RoutinelyMeasured,Phylum,Class,Order,Family,Genus,Species,MeasuredWetWeight,CalculatedWetWeight,CarbonWeight,DryWeight,Reference,StartDate,EndDate,Comments
Diaptomus copepodid,Copepodid,Diaptomus spp juveniles,N,Arthropoda,Copepoda,Calanoida,Diaptomidae,Diaptomus,,,11.4,0.625,,Converted from carbon weight from Kimmerer 2006. Response of anchovies dampens effects of the invasive bivalve Corbula amurensis on the San Francisco Estuary foodweb. Mar Ecol Prog Ser. 324: 207–218,2011,,
Diaptomus spp,Adult,"Diaptomus spp adults. Includes D. kenai, D. franciscanus, D. forbesi, D. sicilis, D. siciloides, D. novamexicanus, and D. pallidus",N,Arthropoda,Copepoda,Calanoida,Diaptomidae,Diaptomus,,,73.3,4,,Converted from carbon weight from Kimmerer 2006. Response of anchovies dampens effects of the invasive bivalve Corbula amurensis on the San Francisco Estuary foodweb. Mar Ecol Prog Ser. 324: 207–218,2011,,
Eucyclops spp,Adult,"Eucyclops spp adults. Added July 29 2020. Previously listed under the category ""Other cyclopoid""",N,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,,,59.3,,7.7,"Converted from the average dry weight of E. serrulatus male and female. Dumont et al 1975. The dry weight estimate of biomass in a selection of Cladocera, Copepoda, and Rotifera from the plankton, periphyton and benthos of continental waters. Oecologia (Berl.) 19: 75-97",2020,,
Eurytemora copepodid,Copepodid,Eurytemora spp juveniles,N,Arthropoda,Copepoda,Calanoida,Temoridae ,Eurytemora,affinis,,10.1,0.55,,Converted from carbon weight from Kimmerer 2006. Response of anchovies dampens effects of the invasive bivalve Corbula amurensis on the San Francisco Estuary foodweb. Mar Ecol Prog Ser. 324: 207–218,2011,,
Eurytemora nauplii,Nauplii,Eurytemora spp larvae,N,Arthropoda,Copepoda,Calanoida,Temoridae ,Eurytemora,,,1.8,0.1,,Converted from carbon weight from Kimmerer 2006. Response of anchovies dampens effects of the invasive bivalve Corbula amurensis on the San Francisco Estuary foodweb. Mar Ecol Prog Ser. 324: 207–218,2011,,
Eurytemora spp,Adult,Eurytemora spp adults,N,Arthropoda,Copepoda,Calanoida,Temoridae ,Eurytemora,affinis,,40.3,2.2,,Converted from carbon weight from Kimmerer 2006. Response of anchovies dampens effects of the invasive bivalve Corbula amurensis on the San Francisco Estuary foodweb. Mar Ecol Prog Ser. 324: 207–218,2011,,
Fish eggs,NA,Fish eggs,N,Chordata,,,,,,22.3,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Gammarus type,All,"Amphipods with the Gammarus body type characterization, all size classes. Includes the genera Gammarus, Crangonyx, Hyalella, Ampelisca, Ampithoe, and Stenothoe. Includes Eogammarus as of July 2020, which was previously classified under ""Unid amphipod""",Y,Arthropoda,Malacostraca,Amphipoda,,,,NA,,,,Based on length-weight equation. See prey length-weight equation lookup table,2011,,
Harpacticoids,All,"Harpacticoids, all age classes",N,Arthropoda,Copepoda,Harpacticoida,,,,22.7,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Hyperacanthomysis longirostris,All,"Hyperacanthomysis longirostris, all age classes. Formerly known as Acanthomysis bowmani",Y,Arthropoda,Malacostraca,Mysida ,Mysidae,Hyperacanthomysis,longirostris,NA,,,,Based on length-weight equation. See prey length-weight equation lookup table,2011,,
Isopods,All,All species and age classes of isopods,Y,Arthropoda,Malacostraca,Isopoda,,,,NA,,,,Based on length-weight equation. See prey length-weight equation lookup table,2011,,
Keratella,All,"Keratella spp, all age classes",N,Rotifera,Monogononta,Ploima,Brachionidae,Keratella,,1.3,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
